begin name = "test"
{-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}
{-1,-1,-1,3,0,0,0,0,0,0,0,0,0,0,0,4}
{-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0}
{-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0}
{-1,-1,-1,0,-1,3,0,0,0,0,0,0,0,0,0,1}
{-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}
{-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}
{-1,-1,-1,0,-1,2,0,0,0,0,0,0,0,0,0,4}
{-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0}
{-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0}
{-1,-1,-1,0,-1,3,0,0,0,0,0,0,0,0,0,1}
{-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}
{-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}
{-1,-1,5,1,-1,2,0,0,0,0,0,0,0,0,0,6}
{-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}
end
